sir_id,event_signature,source_rows_in_signature,min_report_date,max_report_date,source_files
10533/2020,"2020-02-21||2020-02-19||Greece (Evros)||Alexandroupolis, Evros, Greece||land||0||1||0||0",1,2020-02-21,2020-02-21,pdfs/pad-2020-00217/Doc_14.pdf
10533/2020,"2020-02-21||2020-02-19||Greece||Alexandroupolis, Greece||land||0||1||0||0",1,2020-02-21,2020-02-21,pdfs/pad-2020-00145/JO_POSEIDON_2020_SIR.pdf
10533/2020,"2020-02-21||2020-02-19||Greece||Alexandroupolis, Nomós Évrou, Greece||land||||1||||0",1,2020-02-21,2020-02-21,pdfs/sir-10553-1/SIR_10553.pdf
10533/2020,"2020-02-21||2020-02-19||Greece||Alexandroupolis, Evros, Greece||land||0||1||0||0",1,2020-02-21,2020-02-21,pdfs/pad-2020-00217/Doc_7.pdf
10548/2022,"2022-07-13||2022-02-05||Albania, Greece||Albanian-Greek border||land||0||0||0||10",1,2022-07-13,2022-07-13,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf
10548/2022,"||2022-02-05||Albania, Greece border||Albanian territory, near the border with Greece||land||0||0||0||10",1,,,pdfs/pad-2025-00371/10548_12480_12816_12941_13269-2022.pdf
10549/2025,2025-04-12||2025-04-11||Serbia||Serbia||land||0||0||0||2,1,2025-04-12,2025-04-12,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf
10566/2020,"2020-02-25||2020-02-25||Lesvos, Greece||Lesvos, Greece||land||0||0||0||0",1,2020-02-25,2020-02-25,pdfs/pad-2020-00217/Doc_11.pdf
10566/2020,"2020-02-25||2020-02-25||Greece (Lesvos)||Mytilini, Lesvos, Greece (various locations)||land||0||0||0||0",1,2020-02-25,2020-02-25,pdfs/pad-2020-00217/Doc_14.pdf
10566/2020,"2020-02-25||2020-02-25||Lesvos||Operational Area, Lesvos, Greece||land||0||0||0||0",1,2020-02-25,2020-02-25,pdfs/pad-2022-00307-documents/pad-2022-00307-documents.pdf
10566/2020,"2020-02-25||2020-02-25||Greece||Mytilini, Lesvos, Greece||land||0||0||0||0",2,2020-02-25,2020-02-25,pdfs/pad-2020-00125-attachment/PAD-2020-00125_attachment.pdf | pdfs/pad-2020-00145/JO_POSEIDON_2020_SIR.pdf
10570/2023,"2023-07-11||2022-10-16||Germany||Frankfurt Airport, Germany||facility||0||0||0||3",1,2023-07-11,2023-07-11,pdfs/pad-2025-00367/10570-2023_red.pdf
10585/2022,"2022-02-11||2022-02-09||Bulgaria||Bulgaria, JO Terra 2022 operational area||land||0||0||0||1",1,2022-02-11,2022-02-11,pdfs/pad-2022-00465/Documents02.pdf
10585/2022,2022-02-11||2022-02-09||Bulgaria||Bulgaria (JO Terra 2022 operational area)||land||0||0||0||0,1,2022-02-11,2022-02-11,pdfs/pad-2022-00470/Documents2.pdf
10590/2024,2024-02-12||2024-02-10||Bulgaria||Bulgaria||land||0||0||0||1,1,2024-02-12,2024-02-12,pdfs/pad-2024-00377/SIR_10590-2024.pdf
10611/2025,"2025-08-20||2025-03-30||Lithuania/Belarus border||Šalčininkai Border Crossing Point area, on the Belarusian side of the border, Lithuania/Belarus border.||land||0||1||0||2",1,2025-08-20,2025-08-20,pdfs/pad-2025-00428/10611_2025.pdf
10625/2020,"2020-03-01||2020-03-01||Greece||Operational Area, Greece||land||0||0||0||0",1,2020-03-01,2020-03-01,pdfs/pad-2022-00307-documents/pad-2022-00307-documents.pdf
10625/2020,"2020-03-01||2020-03-01||Greece||Chios, Greece||land||0||0||0||0",2,2020-03-01,2020-03-01,pdfs/pad-2020-00145/JO_POSEIDON_2020_SIR.pdf | pdfs/pad-2020-00217/Doc_11.pdf
10625/2020,"2020-03-01||2020-03-01||Greece||Vial camp, Chios, Greece||facility||0||0||0||0",1,2020-03-01,2020-03-01,pdfs/pad-2020-00125-attachment/PAD-2020-00125_attachment.pdf
10625/2020,"2020-03-01||2020-03-01||Greece (Chios island)||Surroundings of Vial camp, Chios, Greece||land||0||0||0||0",1,2020-03-01,2020-03-01,pdfs/pad-2020-00175-documents/PAD-2020-00175-documents.pdf
10625/2020,"2020-03-01||2020-03-01||Greece||Near Vial camp, Chios, Greece||land||0||0||0||0",1,2020-03-01,2020-03-01,pdfs/pad-2020-00217/Doc_15.pdf
10625/2020,"2020-03-01||2020-03-01||Greece (Chios)||Vial Refugee Camp, Chios, Greece||facility||0||0||0||0",1,2020-03-01,2020-03-01,pdfs/pad-2020-00217/Doc_14.pdf
10630/2021,2021-03-01||2021-03-01||Albania||Operational Area in Albania||land||0||0||0||0,1,2021-03-01,2021-03-01,pdfs/pad-2022-00420/2_SIRs.pdf
10633/2022,||2022-02-13||Latvia||Latvia-Belarus border||land||0||0||0||6,1,,,pdfs/pad-2025-00371/10633_2022.pdf
10640/2025,2025-05-04||2025-05-03||Austria||Austria||land||0||0||0||2,1,2025-05-04,2025-05-04,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf
10642/2019,"2019-11-12||2019-11-11||Greece, Lesvos island, Moria camp||Moria camp, Lesvos, Greece||facility||1||||||0",2,2019-11-12,2019-11-12,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_Releasable.pdf | pdfs/pad-2020-00217/Doc_6.pdf
10652/2020,"2020-03-04||2020-02-25||Hungary||Hercegszántó, Bács-Kiskun, Hungary, wooded area||land||||||||1",1,2020-03-04,2020-03-04,pdfs/pad-2025-00339/10652-2020_redacted.pdf
10658/2020,"2020-03-04||2020-03-03||||Location redacted, related to Federal Police Headquarters and a laboratory in a redacted country.||facility||0||0||0||0",2,2020-03-04,2020-03-04,pdfs/pad-2020-00217/Doc_12.pdf | pdfs/sirs-1-mar-to-1-apr-2020/SIRs_1_Mar_to_1_Apr_2020.pdf
10658/2020,"2020-03-04||2020-03-03||||Redacted location, related to Federal Police Headquarters||facility||0||0||0||0",1,2020-03-04,2020-03-04,pdfs/sirs-mar-2020/SIRs_Mar_2020.pdf
10688/2025,"2025-08-29||2025-04-25||Tunisian and Libyan search and rescue regions, off Tunisia||Approximately 26-28 nautical miles north of the shore of Tunisia, within the Libyan and Tunisian search and rescue regions.||sea||0||0||0||2",1,2025-08-29,2025-08-29,pdfs/pad-2025-00428/10688_2025.pdf
10693/2025,"2025-05-15||2025-05-14||North Macedonia||North Macedonia, near railway tracks||land||0||0||0||2",1,2025-05-15,2025-05-15,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf
10706/2025,2025-06-20||2025-05-16||Albania-Montenegro border area||Albania-Montenegro border area near railway track||land||0||0||0||1,1,2025-06-20,2025-06-20,pdfs/pad-2025-00330-1/10706.2025_Final_SIR_Cat_1.pdf
10723/2022,"2022-02-22||2022-02-21||Operational Area (Sea)||Incident occurred in an operational area at sea, location redacted.||sea||1||1||0||1",1,2022-02-22,2022-02-22,pdfs/pad-2022-00328/Documents_2.pdf
10729/2021,"2021-03-07||2021-03-07||Romania||Operational Area in Romania, near Timisoara||land||0||1||0||0",1,2021-03-07,2021-03-07,pdfs/doc-1-34/doc-1-34.pdf
10739/2025,2025-06-18||||||Location of incident heavily redacted; related to a return operation to the individual's home country.||unknown||||||||2,1,2025-06-18,2025-06-18,pdfs/pad-2025-00330-1/10739_2025__FINAL_SIR_Cat._2-3_redacted.pdf
10744/2020,2020-03-12||2020-03-11||Aegean Sea||Aegean Sea||sea||0||0||0||0,2,2020-03-12,2020-03-12,pdfs/pad-2020-00125-attachment/PAD-2020-00125_attachment.pdf | pdfs/pad-2020-00217/Doc_14.pdf
10749/2025,"2025-06-26||2025-05-22||Albania-Montenegro border area||Near the Albania-Montenegro border, North-western Albania||land||0||0||0||1",1,2025-06-26,2025-06-26,pdfs/pad-2025-00330-1/10749_2025_Final_SIR_Cat_1__JO_Albania_2025.pdf
10771/2025,2025-06-04||2025-06-04||Spain||Spain||land||0||0||0||2,1,2025-06-04,2025-06-04,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf
10787/2025,2025-06-07||2025-06-06||Serbia||Serbia||land||0||0||0||2,1,2025-06-07,2025-06-07,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf
10797/2025,2025-07-10||||Poland||Frontex office in Warsaw||facility||||||||0,1,2025-07-10,2025-07-10,pdfs/pad-2025-00330-1/10797_2025_FINAL_SIR_CAT_3_redacted.pdf
10804/2020,"2020-03-18||2020-03-18||Bulgaria||Redacted location, hospitalization in Sofia, Bulgaria||land||0||0||0||0",1,2020-03-18,2020-03-18,pdfs/sirs-mar-2020/SIRs_Mar_2020.pdf
10804/2020,"2020-03-18||2020-03-18||Bulgaria||Military Hospital in Sofia, Bulgaria||facility||0||0||0||0",1,2020-03-18,2020-03-18,pdfs/pad-2020-00145/FOA_LAND_2020_SIR.pdf
10804/2020,"2020-03-18||2020-03-18||Bulgaria (Sofia)||Sofia, Bulgaria (Military Hospital)||facility||0||0||0||0",1,2020-03-18,2020-03-18,pdfs/pad-2020-00217/Doc_14.pdf
10804/2020,"2020-03-18||2020-03-18||Bulgaria||Location redacted, but related to deployment in Bulgaria, with hospitalization in Sofia.||land||0||0||0||0",2,2020-03-18,2020-03-18,pdfs/pad-2020-00217/Doc_12.pdf | pdfs/sirs-1-mar-to-1-apr-2020/SIRs_1_Mar_to_1_Apr_2020.pdf
10804/2020,"2020-03-18||2020-03-18||Bulgaria||Sofia, Bulgaria||land||0||0||0||0",1,2020-03-18,2020-03-18,pdfs/pad-2020-00217/Doc_10.pdf
10804/2020,"2020-03-18||2020-03-18||Bulgaria||Sofia, Bulgaria||facility||0||0||0||0",1,2020-03-18,2020-03-18,pdfs/pad-2020-00125-attachment/PAD-2020-00125_attachment.pdf
10804/2021,"2021-03-11||2021-03-11||Bulgaria||Operational Area Sofia, Bulgaria||land||0||0||0||0",1,2021-03-11,2021-03-11,pdfs/pad-2022-00465/Documents01.pdf
10804/2022,"2022-03-25||2022-02-23||Latvia, Belarus||Latvia-Belarus land border||land||||||||4",1,2022-03-25,2022-03-25,pdfs/pad-2025-00371/10804_2022.pdf
10809/2020,"2020-03-19||2020-03-18||Greece||Alexandroupolis, Greece||land||0||0||0||0",2,2020-03-19,2020-03-19,pdfs/pad-2020-00145/FOA_LAND_2020_SIR.pdf | pdfs/pad-2020-00217/Doc_10.pdf
10809/2020,"2020-03-19||2020-03-18||Greece||Location redacted, but related to Hellenic Police Office and Alexandroupolis, Greece.||land||0||0||0||0",2,2020-03-19,2020-03-19,pdfs/pad-2020-00217/Doc_12.pdf | pdfs/sirs-1-mar-to-1-apr-2020/SIRs_1_Mar_to_1_Apr_2020.pdf
10809/2020,"2020-03-19||2020-03-18||Greece||Redacted location, hospitalization in Alexandroupolis, Greece||land||0||0||0||0",1,2020-03-19,2020-03-19,pdfs/sirs-mar-2020/SIRs_Mar_2020.pdf
10809/2020,"2020-03-19||2020-03-18||Greece (Alexandroupolis, Thessaloniki)||Alexandroupolis, Greece (hospitalized)||facility||0||0||0||0",1,2020-03-19,2020-03-19,pdfs/pad-2020-00217/Doc_14.pdf
10809/2020,"2020-03-19||2020-03-18||Greece||Alexandroupolis, Greece||unknown||0||0||0||0",1,2020-03-19,2020-03-19,pdfs/pad-2020-00167/SIR_Part_1.pdf
10809/2020,"2020-03-19||2020-03-18||Greece||Alexandroupolis, Greece||facility||0||0||0||0",1,2020-03-19,2020-03-19,pdfs/pad-2020-00125-attachment/PAD-2020-00125_attachment.pdf
10830/2025,2025-06-16||2025-06-14||North Macedonia||North Macedonia||land||0||1||0||2,1,2025-06-16,2025-06-16,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf
10839/2019,"2019-11-27||2019-11-27||Greece, Lesvos island, Mytilene||Mytilene, Lesvos, Greece||land||||1||||0",2,2019-11-27,2019-11-27,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_Releasable.pdf | pdfs/pad-2020-00217/Doc_6.pdf
10842/2022,"2022-03-07||2022-02-27||Latvia, Belarus||Latvia-Belarus border||land||||||||3",1,2022-03-07,2022-03-07,pdfs/pad-2025-00371/10842_2022.pdf
10862/2024,2024-12-10||2024-02-27||unknown||Unspecified Border Control Unit (BCU) within an operational area||land||0||0||0||1,1,2024-12-10,2024-12-10,pdfs/pad-2025-00055/10862_2024_SIR_Cat._2_JO_Bulgaria_2024_Final_report_27.02.2025_redacted_print.pdf
10870/2021,2021-03-17||2021-03-17||Romania||Operational Area in Romania||land||0||0||0||0,1,2021-03-17,2021-03-17,pdfs/doc-1-34/doc-1-34.pdf
10910/2023,"2023-10-30||2022-12-01||Greek-Albanian border area, Registration and Temporary Accommodation Center||Registration and Temporary Accommodation Center near the Greek-Albanian border||mixed||0||0||0||2",1,2023-10-30,2023-10-30,pdfs/pad-2023-00450/Albnia_SIR_2023.pdf
10928/2019,"2019-12-05||2019-12-05||Greece, Lesvos island, Karatepe camp||Karatepe Camp, Mytilene, Lesvos, Greece||facility||1||0||||0",2,2019-12-05,2019-12-05,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_Releasable.pdf | pdfs/pad-2020-00217/Doc_6.pdf
10934/2025,2025-07-09||2025-06-29||Bulgaria||Bulgaria||facility||0||0||0||2,1,2025-07-09,2025-07-09,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf
10941/2022,2022-07-13||2022-03-01||Albania/Greece border||Kakavia border crossing point (Albania/Greece border)||land||0||0||0||2,1,2022-07-13,2022-07-13,pdfs/pad-2022-00420/sir8.pdf
10941/2022,"2022-07-13||2022-03-01||Albania-Greece border||Near Kakavia border crossing point, Albania-Greece border||land||||||||2",1,2022-07-13,2022-07-13,pdfs/pad-2023-00450/SIR_Albania_2022_part_1.pdf
10941/2022,"2022-07-13||2022-03-02||Albania, Greece||Border crossing point Kakavia, between Albania and Greece||land||0||0||0||2",1,2022-07-13,2022-07-13,pdfs/pad-2025-00371/10941-2022.pdf
10942/2022,"2022-05-12||2022-03-03||Albania-Greece border||Near Kakavia border crossing point, Albania-Greece border||land||||||||2",1,2022-05-12,2022-05-12,pdfs/pad-2023-00450/SIR_Albania_2022_part_1.pdf
10942/2022,"2022-05-12||2022-03-02||Albania||Near BCP Kakavia, Albania, close to the border with Greece||land||0||0||0||2",1,2022-05-12,2022-05-12,pdfs/pad-2025-00371/10942-2022.pdf
10942/2022,"2022-05-12||2022-03-02||Albania/Greece border||Kakavia Border Crossing Point, Albania/Greece border||land||0||0||0||2",1,2022-05-12,2022-05-12,pdfs/pad-2022-00420/sir9.pdf
10945/2021,"2021-03-23||2021-03-23||Bulgaria||Operational Area Sofia, Bulgaria||land||0||0||0||0",1,2021-03-23,2021-03-23,pdfs/pad-2022-00465/Documents01.pdf
10951/2019,"2019-12-07||2019-11-30||Greece||Near BCU FERES, Greece||land||0||1||0||0",1,2019-12-07,2019-12-07,pdfs/pad-2020-00167/SIR_Part_1.pdf
10953/2021,"2021-03-24||2021-03-24||Bulgaria||Operational Area, Sofia, Bulgaria||land||0||0||0||0",1,2021-03-24,2021-03-24,pdfs/pad-2022-00465/Documents01.pdf
10956/2021,"2021-03-24||2021-03-23||Bulgaria||Sofia, Bulgaria||land||0||0||0||0",1,2021-03-24,2021-03-24,pdfs/pad-2022-00465/Documents01.pdf
10957/2024,"2024-09-13||2024-02-15||Serbia, Bulgaria||Serbia-Bulgaria border area, including a detention center in Belgrade, Pirot, and a border crossing point||mixed||||||||4",1,2024-09-13,2024-09-13,pdfs/sirs-pad-2024-00396/sirs-pad-2024-00396.pdf
10957/2024,"2024-09-13||2024-02-15||Serbia, Bulgaria||Serbia-Bulgaria border area, near Pirot, Serbia||land||0||1||0||4",1,2024-09-13,2024-09-13,pdfs/10957_2024-final-sir-cat1/10957_2024-final-sir-cat.1.pdf
10988/2020,"2020-04-08||2020-04-07||Greece||olive grove near Moria camp, Lesvos, Greece||facility||1||0||0||0",1,2020-04-08,2020-04-08,pdfs/pad-2022-00307-documents/pad-2022-00307-documents.pdf
10990/2021,"2021-03-26||2021-03-26||Bulgaria||Operational Area, Bulgaria||land||0||0||0||0",1,2021-03-26,2021-03-26,pdfs/pad-2022-00465/Documents01.pdf
10998/2024,"2024-08-22||2024-02-19||Aegean Sea, Lesvos||South of Lesvos, Aegean Sea||sea||||||||3",1,2024-08-22,2024-08-22,pdfs/10998-2024-fro-final-report_final-1/10998-2024-fro-final-report_final-1.pdf
10998/2024,"2024-08-22||2024-02-19||Aegean Sea, Lesvos, Greek-Turkish maritime border, Turkey||South of Lesvos, near Greek-Turkish maritime border, Aegean Sea.||sea||||||||3",1,2024-08-22,2024-08-22,pdfs/10998-2024-fro-final-report_final/10998-2024-fro-final-report_final.pdf
11008/2021,"2021-03-27||2021-03-24||Spain||San Jose, Almeria, Andalusia, Spain||land||0||2||0||5",1,2021-03-27,2021-03-27,pdfs/pad-2025-00419/11008-2021_NF_red_dp_BG_3F_mp_print.pdf
11008/2021,"||2021-03-25||Spain||Almeria and San Jose, Spain||land||0||1||0||8",1,,,pdfs/pad-2025-00371/11008.2021.pdf
11009/2022,2022-03-08||2022-03-08||Bulgaria||Bulgarian Border Crossing Point (JO Terra 2022)||facility||||||||3,1,2022-03-08,2022-03-08,pdfs/pad-2022-00470/Documents2.pdf
11009/2022,"2022-03-08||2022-03-08||Bulgaria||Bulgaria, JO Terra 2022 operational area, Border Crossing Point||facility||0||0||0||3",1,2022-03-08,2022-03-08,pdfs/pad-2022-00465/Documents02.pdf
11009/2022,"2022-03-08||2022-03-08||Bulgaria||A Border Crossing Point (BCP) in the operational area of JO Terra 2022, Bulgaria.||facility||0||0||0||3",1,2022-03-08,2022-03-08,pdfs/pad-2025-00371/11009_11760_12819_13800_14128-2022.pdf
11013/2019,"2019-12-12||2019-12-09||Greece, Chios island, Vial camp||Vial camp, Chios, Greece||facility||||1||||0",2,2019-12-12,2019-12-12,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_Releasable.pdf | pdfs/pad-2020-00217/Doc_6.pdf
11022/2020,"2020-04-13||2020-04-10||Central Mediterranean Sea||Central Mediterranean Sea, off Malta's coast||sea||5||0||0||0",1,2020-04-13,2020-04-13,pdfs/doc-1-1-1/doc-1-1-1.pdf
11023/2023,"2023-07-28||2023-02-17||Greece, Türkiye (Lesvos Island, Turkish territorial waters)||Lesvos Island, Greece and Turkish territorial waters near Lesvos.||mixed||0||2||0||3",1,2023-07-28,2023-07-28,pdfs/onedrive_3_29-11-2023/doc_1-1.pdf
11023/2023,"2023-07-28||2023-02-17||Greece, Türkiye, Aegean Sea||Lesvos Island, Greece and Turkish territorial waters near Izmir province, Dikili district||mixed||0||1||0||3",1,2023-07-28,2023-07-28,pdfs/pad-2023-00266/doc_1-1.pdf
11027/2023,"2023-06-22||2023-01-12||Greece, Türkiye (Samos, Lesvos, Turkish territorial waters)||Near Samos coast, Lesvos Island, Turkish territorial waters (Canakkale province).||mixed||0||0||0||3",1,2023-06-22,2023-06-22,pdfs/onedrive_3_29-11-2023/doc_1-1.pdf
11027/2023,"2023-06-22||2023-01-12||Greece, Türkiye, Aegean Sea||Lesvos Island, Greece and Turkish territorial waters off Canakkale province, Ayvacik district||mixed||0||0||0||3",1,2023-06-22,2023-06-22,pdfs/pad-2023-00266/doc_1-1.pdf
11027/2023,"2023-06-22||2022-11-12||Greece, Türkiye, Aegean Sea||Near Samos Island, Greece, and Turkish territorial waters off Izmir province||sea||0||0||0||3",1,2023-06-22,2023-06-22,pdfs/pad-2023-00266/doc_1-1.pdf
11041/2024,"2024-09-30||2024-02-26||Serbia, Bulgaria||Serbia-Bulgaria border area, including Belgrade, a reception center south of Belgrade, Dimitrovgrad, and a shallow river at the border||mixed||||||||3",1,2024-09-30,2024-09-30,pdfs/sirs-pad-2024-00396/sirs-pad-2024-00396.pdf
11041/2024,"2024-09-30||2024-02-26||Serbia/Bulgaria border||Serbian-Bulgarian border, near Dimitrovgrad||land||0||1||0||3",1,2024-09-30,2024-09-30,pdfs/11041_2024-final-sir-cat-1/11041_2024-final-sir-cat.-1.pdf
11073/2020,"2020-04-20||2020-04-18||Greece (Chios)||Vial Refugee Camp, Chios, Greece||facility||0||0||0||0",1,2020-04-20,2020-04-20,pdfs/pad-2020-00217/Doc_14.pdf
11073/2020,"2020-04-20||2020-04-18||Greece||Vial RIC, Chios, Greece||facility||0||0||0||0",3,2020-04-20,2020-04-20,pdfs/pad-2020-00125-attachment/PAD-2020-00125_attachment.pdf | pdfs/pad-2020-00162/POSEIDON_2020_SirExport.pdf | pdfs/pad-2020-00217/Doc_15.pdf
11073/2020,"2020-04-20||2020-04-18||Greece (Chios island)||RIC VIAL camp, Chios, Greece||facility||0||0||0||0",1,2020-04-20,2020-04-20,pdfs/pad-2020-00175-documents/PAD-2020-00175-documents.pdf
11073/2020,"2020-04-20||2020-04-18||Chios||Operational Area, Chios, Greece||facility||0||0||0||0",1,2020-04-20,2020-04-20,pdfs/pad-2022-00307-documents/pad-2022-00307-documents.pdf
11074/2022,||2022-03-09||Lithuania-Belarus border||Lithuania-Belarus border||land||0||0||0||4,1,,,pdfs/pad-2025-00371/11074_2022.pdf
11081/2022,"2022-05-12||2022-02-28||Albania/Greece border||Albanian-Greek border near Kakavia, involving movements to Sarande and Gjirokaster in Albania, and Delvinaki in Greece.||mixed||0||0||0||2",1,2022-05-12,2022-05-12,pdfs/pad-2022-00420/sir6.pdf
11081/2022,"2022-05-12||2022-02-28||Albania, Greece||Albanian-Greek border area near Kakavia and Delvinaki||land||0||0||0||2",1,2022-05-12,2022-05-12,pdfs/pad-2025-00371/11081-2022.pdf
11081/2022,"2022-05-12||2022-03-02||Albania-Greece border||Near Kakavia border, Albania-Greece||land||||||||2",1,2022-05-12,2022-05-12,pdfs/pad-2023-00450/SIR_Albania_2022_part_1.pdf
11082/2022,"2022-05-12||2022-03-07||Albania, Greece||Albania-Greece border crossing near Kakavia and Delvinaki||land||0||0||0||2",1,2022-05-12,2022-05-12,pdfs/pad-2025-00371/11082-2022.pdf
11082/2022,"2022-05-12||2022-03-07||Albania-Greece border||Near Kakavia detention center, Albania-Greece border||land||||||||2",1,2022-05-12,2022-05-12,pdfs/pad-2023-00450/SIR_Albania_2022_part_1.pdf
11082/2022,"2022-05-12||2022-03-07||Albania, Greece||Albania-Greece border area near Kakavia and Delvinaki||land||0||0||0||2",1,2022-05-12,2022-05-12,pdfs/pad-2022-00420/sir5.pdf
11083/2022,"2022-05-12||2022-03-01||Albania, Greece||Near Durres and Kakavia, Albania, and Delvinaki, Greece||land||0||0||0||2",1,2022-05-12,2022-05-12,pdfs/pad-2022-00420/sir7.pdf
11083/2022,"2022-05-12||2022-03-02||Albania-Greece border||Near Kakavia border crossing point, Albania-Greece border||land||||||||2",1,2022-05-12,2022-05-12,pdfs/pad-2023-00450/SIR_Albania_2022_part_1.pdf
11083/2022,"2022-05-12||2022-03-01||Albania, Greece border||Apprehension near Durres, Albania; detention and alleged pushback near Kakavia, Albania-Greece border.||land||||||||2",1,2022-05-12,2022-05-12,pdfs/pad-2025-00371/11083-2022.pdf
11091/2024,"2024-03-15||2023-12-27||North Macedonia||Highway in North Macedonia, near a tunnel.||land||0||0||0||1",1,2024-03-15,2024-03-15,pdfs/pad-2024-00429/Redacted_SIR_11091_2024.pdf
11095/2020,"2020-04-30||2020-04-18||Eastern Aegean Sea||Eastern Aegean Sea, near Lesvos island, at 39.266667N 26.583333E||sea||||||||1",1,2020-04-30,2020-04-30,pdfs/pad-2022-00335/2020.05.01_Final_SIR__Report_11095.2020__final_redacted.pdf
11095/2020,"2020-04-30||2020-04-19||Eastern Aegean Sea, Turkey||Turkish territorial waters, Eastern Aegean Sea||sea||||||||0",1,2020-04-30,2020-04-30,pdfs/pad-2020-00215/RE_110952020-1.pdf
11095/2020,"2020-04-23||2020-04-18||Eastern Aegean Sea||North of Lesvos, Eastern Aegean Sea, near Greek-Turkish maritime border||sea||||||||0",2,2020-04-23,2020-04-23,pdfs/pad-2020-00215/Redacted_FW_110952020_FORMAL_SIR__Frontex_Surveillance_Aircrafts_Sighting_in_Eastern_Aegean.pdf | pdfs/pad-2022-00335/Redacted_FW_110952020_FORMAL_SIR__Frontex_Surveillance_Aircrafts_Sighting_in_Eastern_Aegean.pdf
11095/2020,"2020-04-30||2020-04-18||Aegean Sea (Greek/Turkish border)||Greek Territorial waters near the Greek-Turkish border, Aegean Sea||sea||0||0||0||2",1,2020-04-30,2020-04-30,pdfs/sea-borders-surveillance-report-2020-1/sea-borders-surveillance-report-2020-1.pdf
11095/2020,"2020-04-30||2020-04-18||Eastern Aegean Sea (Greece/Turkey border area)||Eastern Aegean Sea, north of Lesvos island, near Greek-Turkish maritime border||sea||||||||3",1,2020-04-30,2020-04-30,pdfs/pad-2020-00215/2020.05.01_Final_SIR__Report_11095.2020__final_redacted-1.pdf
11095/2020,"2020-04-30||2020-04-18||Eastern Aegean Sea (Greece/Turkey)||Eastern Aegean Sea, near Lesvos, at 39.2666N, 26.5833E||sea||0||0||0||3",1,2020-04-30,2020-04-30,pdfs/2020.05.01_final-sir-report_11095.2020-_final-redacted-1/2020.05.01_Final_SIR__Report_11095.2020__final_redacted-1.pdf
11095/2020,"2020-05-05||||Eastern Aegean Sea||Eastern Aegean Sea, Turkish territorial waters||sea||||||||2",1,2020-05-05,2020-05-05,pdfs/pad-2020-00215/Redacted_110952020_FINAL_SIR__Frontex_Surveillance_Aircrafts_Sighting_in_Eastern_Aegean.pdf
11095/2020,"2020-04-30||2020-04-19||Eastern Aegean Sea, Turkey||Turkish territorial waters in the Eastern Aegean Sea||sea||0||0||0||0",2,2020-04-30,2020-04-30,pdfs/pad-2020-00215/Email_1.pdf | pdfs/pad-2022-00335/Email_1.pdf
11095/2020,"2020-04-22||2020-04-18||Aegean Sea (near Lesvos, Greece/Turkey border)||Sea area between Greek and Turkish maritime border, near Lesvos island.||sea||0||0||0||2",2,2020-04-22,2020-04-22,pdfs/pad-2020-00215/Redacted_11095.pdf | pdfs/pad-2022-00335/Redacted_11095.pdf
11095/2020,"2020-05-05||||Eastern Aegean Sea, Turkey||Eastern Aegean Sea, Turkish territorial waters||sea||||||||3",1,2020-05-05,2020-05-05,pdfs/pad-2022-00335/Redacted_110952020_FINAL_SIR__Frontex_Surveillance_Aircrafts_Sighting_in_Eastern_Aegean.pdf
11095/2020,"2020-04-30||2020-04-19||Turkish territorial waters, Eastern Aegean Sea||Turkish territorial waters in the Eastern Aegean Sea||sea||||||||0",1,2020-04-30,2020-04-30,pdfs/pad-2022-00335/RE_110952020.pdf
11126/2022,||2022-03-13||Lithuania||Lithuania-Belarus border||land||0||0||0||4,1,,,pdfs/pad-2025-00371/11126_2022.pdf
11137/2020,"2020-04-28||2020-04-28||Greece||Evros river, Greece||mixed||0||0||0||0",1,2020-04-28,2020-04-28,pdfs/pad-2020-00167/SIR_Part_2.pdf
11137/2020,"2020-04-28||2020-04-28||Greece (Evros)||Evros river, border area, Greece (Turkish bank)||land||0||0||0||0",1,2020-04-28,2020-04-28,pdfs/pad-2020-00217/Doc_14.pdf
11137/2020,"2020-04-28||2020-04-28||Greece||Evros river, Greece||land||0||0||0||0",2,2020-04-28,2020-04-28,pdfs/pad-2020-00125-attachment/PAD-2020-00125_attachment.pdf | pdfs/pad-2020-00162/FOA_LAND_2020_SirExport.pdf
11137/2020,"2020-04-28||2020-04-28||Evros river||Evros river area, near the Turkish bank||land||0||0||0||0",2,2020-04-28,2020-04-28,pdfs/pad-2020-00078/Serious_Incident_Reports_PAD-2020-00078_-_part_1.pdf | pdfs/pad-2020-00217/Doc_1.pdf
11153/2023,"2024-07-19||2023-03-15||Albania, Greece (border area)||Albanian-Greek border area, involving a detention center in Albania.||mixed||0||0||0||1",1,2024-07-19,2024-07-19,pdfs/11153-2023-fro-final-report_redacted-1/11153-2023-fro-final-report_redacted-1.pdf
